,Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time,lat,long,Unnamed: 0,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
447,,,Roboze,Argo 500,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PEEK, PEEK-CF, PEI",19.69,19.69,19.69,"$100,000 - $249,999",
448,,,Roboze,Roboze One,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Carbon, ABS, TPE, PLA",11.02,8.66,7.87,"Less than $49,999",
449,,,Roboze,Roboze one+400,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PEEK, PEI, PA-Carbon, ABS, PMMA, PVA, HIPS",7.9,7.9,7.9,Price not reported,
450,,,Roland,DWP-80S,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.15,3.15,3.15,"Less than $49,999",
451,,,Sciaky,EBAM 110,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Titanium, Nickel, Steel, Aluminum, Refractory Metal, Zirconium, Copper",70.0,47.0,63.0,"Greater than $1,000,000",
452,,,Sciaky,EBAM 150,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Titanium, Nickel, Steel, Aluminum, Refractory Metal, Zirconium, Copper",110.0,62.0,62.0,"Greater than $1,000,000",
453,,,Sciaky,EBAM 300,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Titanium, Nickel, Steel, Aluminum, Refractory Metal, Zirconium, Copper",228.0,48.0,48.0,"Greater than $1,000,000",
454,,,Sciaky,EBAM 68,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Titanium, Nickel, Steel, Aluminum, Refractory Metal, Zirconium, Copper",28.0,25.0,63.0,"Greater than $1,000,000",
455,,,Sciaky,EBAM 88,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Titanium, Nickel, Steel, Aluminum, Refractory Metal, Zirconium, Copper",48.0,35.0,63.0,"Greater than $1,000,000",
456,,,Sentrol,SM250,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Nickel, Cobalt, Steel, Titanium",9.84,9.84,3.94,Price not reported,
457,,,Sentrol,SMJ80,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Gold, Silver, Titanium, Bronze, Steel",3.15,3.15,3.15,Price not reported,
458,,,Shaanxi Hengtong,Digital Light Processing,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.91,4.72,3.15,"Less than $49,999",
459,,,Shaanxi Hengtong,High Temp FDM,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PA, PEI, PEEK",9.45,9.45,7.87,Price not reported,
460,,,Shaanxi Hengtong,SCPS350B,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,9.84,"$50,000 - $99,999",
461,,,Shaanxi Hengtong,SLS 1200,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),Sand,Silicate,47.2,23.6,23.6,Price not reported,
462,,,Shaanxi Hengtong,SPS250E,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,5.91,Price not reported,
463,,,Shaanxi Hengtong,SPS250J,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,3.94,Price not reported,
464,,,Shaanxi Hengtong,SPS250M,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,9.84,Price not reported,
465,,,Shaanxi Hengtong,SPS350B,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,13.78,"$100,000 - $249,999",
466,,,Shaanxi Hengtong,SPS450B,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.72,17.72,13.78,"$100,000 - $249,999",
467,,,Shaanxi Hengtong,SPS600B,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,23.62,23.62,15.75,"$250,000 - $499,999",
468,,,Shaanxi Hengtong,SPS800,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,31.5,23.62,15.75,Price not reported,
469,,,Shaanxi Hengtong,Surface Forming 3D Printer,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.48,3.94,7.09,Price not reported,
470,,,Shanghai Union Technology,FM450,,,,,,,,,Click for Details,,1,Vat Photopolymerization (e.g. SLA),Polymer,,17.72,17.72,13.78,"$100,000 - $249,999",
471,,,Shanghai Union Technology,FM700,,,,,,,,,Click for Details,,1,Vat Photopolymerization (e.g. SLA),Polymer,,27.56,13.78,13.78,"$250,000 - $499,999",
472,,,Shanghai Union Technology,Pilot 250,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,9.84,"$100,000 - $249,999",
473,,,Shanghai Union Technology,Pilot 450,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.72,17.72,15.75,"$100,000 - $249,999",
474,,,Shanghai Union Technology,RSPro 600,,,,,,,,,Click for Details,Full Vat,,Vat Photopolymerization (e.g. SLA),Polymer,,23.6,23.6,19.7,"$100,000 - $249,999",
476,,,Shanghai Union Technology,RSPro 800,,,,,,,,,Click for Details,Full Vat,,Vat Photopolymerization (e.g. SLA),Polymer,,31.5,31.5,21.6,"$250,000 - $499,999",
478,,,Sharebot,Antares,,,,,,,,,Click for Details,,0.15,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,9.84,"Less than $49,999",
479,,,Sharebot,Next Generation XXL Plus,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, TPU, ABS, Wood-like",28.35,9.84,7.87,"Less than $49,999",
480,,,Sharebot,Sharebot Q,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, TPU, PA-Carbon, PA-Glass, Wood-like",11.81,15.75,11.81,"Less than $49,999",
481,,,Sharebot,Sharebot QXXL,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, PA-Carbon, PA-Glass, PP, TPU, ASA",27.56,13.78,11.81,"Less than $49,999",
482,,,Sharebot,Snow White,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),"Polymer, Composite",PA,3.94,3.94,3.94,Price not reported,
483,,,Shining 3D,EP-C3650,,,,,,,,,Click for Details,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Sand, Wax","Resin Sand, PS, Wax Powder",14.2,14.2,19.6,Price not reported,
484,,,Shining 3D,EP-C5050,,,,,,,,,Click for Details,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Sand, Wax","Resin Sand, PS, Wax Powder",19.6,19.6,19.6,Price not reported,
485,,,Shining 3D,EP-M100T,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum, Copper, Tungsten",4.72,4.72,3.15,Price not reported,
487,,,Shining 3D,EP-M250,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Aluminum, Titanium, Nickel",9.84,9.84,11.8,Price not reported,
489,,,Shining 3D,EP-P3850 SLS,,,,,,,,,Click for Details,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Composite","PA, PA-Glass, PP, TPU, PE, TPE",14.96,14.96,19.69,Price not reported,
490,,,Shining 3D,iSLA-350,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,11.81,Price not reported,
491,,,Shining 3D,iSLA-450 Pro,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.7,17.7,15.7,Price not reported,
492,,,Shining 3D,iSLA-650 Pro,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,25.6,23.6,15.7,Price not reported,
493,,,Sinterit,Sinterit Lisa,,,,,,,,,Click for Details,,5,Powder Bed Fusion (e.g. SLS),Polymer,PA,5.9,7.9,5.9,"Less than $49,999",
494,,,Sintratec,Sintratec Kit,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,5.1,5.1,5.1,"Less than $49,999",
495,,,Sintratec,Sintratec S1,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,5.12,5.12,7.09,Price not reported,
496,,,Sisma,EVE res20,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.94,3.94,5.91,Price not reported,
497,,,Sisma,Mysint 300,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Steel, Nickel, Aluminum, Titanium",11.8,11.8,15.75,Price not reported,
498,,,Sisma,mysint100,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel, Nickel",3.94,3.94,3.94,"$100,000 - $249,999",
499,,,Sisma,mysint100 Dual Laser,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel, Nickel",3.94,3.94,3.94,"$100,000 - $249,999",
500,,,SLM Solutions,SLM 125,,,,,,,,,Click for Details,Single (1x400W),400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",4.92,4.92,4.92,"$250,000 - $499,999",
501,,,SLM Solutions,SLM 280 2.0,,,,,,,,,Click for Details,"Dual (1x700W, 1x1000W)","700, 1000",Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,14.3,"$500,000 - $999,999",
506,,,SLM Solutions,SLM 500,,,,,,,,,Click for Details,Quad (4x400W),400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",19.69,11.02,14.3,"Greater than $1,000,000",
510,,,Solidscape (A Prodways Company),Solidscape S350,,,,,,,,,Click for Details,,,Material Jetting,Wax,Wax-like,6.0,6.0,4.0,"Less than $49,999",
511,,,Solidscape (A Prodways Company),Solidscape S370,,,,,,,,,Click for Details,,,Material Jetting,Wax,Wax-like,6.0,6.0,4.0,"Less than $49,999",
512,,,Solidscape (A Prodways Company),Solidscape S390,,,,,,,,,Click for Details,,,Material Jetting,Wax,Wax-like,6.0,6.0,2.0,"Less than $49,999",
513,,,Solidscape (A Prodways Company),Solidscape S500,,,,,,,,,Click for Details,,,Material Jetting,Wax,Wax-like,6.0,6.0,4.4,"Less than $49,999",
514,,,Sondasys,LA1100 dual,,,,,,,,,Click for Details,Custom,,Vat Photopolymerization (e.g. SLA),Polymer,,39.37,39.37,19.69,Price not reported,
516,,,Sondasys,LA300,,,,,,,,,Click for Details,Custom,,Vat Photopolymerization (e.g. SLA),Polymer,,11.81,11.81,11.81,Price not reported,
518,,,Sondasys,LA600 PRO,,,,,,,,,Click for Details,Custom,,Vat Photopolymerization (e.g. SLA),Polymer,,23.62,23.62,15.75,Price not reported,
520,,,Sondasys,M150,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",5.91,5.91,7.87,Price not reported,
522,,,Sondasys,M300,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",11.81,9.84,13.78,Price not reported,
523,,,Sondasys,SL01,,,,,,,,,Click for Details,Exchangeable,60-100,Powder Bed Fusion (e.g. SLS),Polymer,PA,13.78,13.78,23.62,Price not reported,
525,,,SPEE3D,LightSPEE3D,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Copper, Aluminum",11.81,11.81,11.81,Price not reported,
526,,,STACKER,STACKER S2,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite",,15.35,12.4,20.67,"Less than $49,999",
527,,,STACKER,STACKER S4,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite",,14.37,20.08,25.79,"Less than $49,999",
528,,,STACKER,STACKER S4-XL,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite",,24.02,24.02,24.02,"Less than $49,999",
529,,,Stratasys,F170,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, ASA",10.0,10.0,10.0,"Less than $49,999",
530,,,Stratasys,F270,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, ASA",12.0,10.0,12.0,"Less than $49,999",
531,,,Stratasys,F370,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PC/ABS, ASA",14.0,10.0,14.0,"Less than $49,999",
532,,,Stratasys,F900,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS, PA",36.0,24.0,36.0,"$250,000 - $499,999",
533,,,Stratasys,Fortus 380mc,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",14.0,12.0,12.0,"$100,000 - $249,999",
534,,,Stratasys,Fortus 380mc Carbon Fiber Edition,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA-Carbon, ASA",13.98,12.01,12.01,"$50,000 - $99,999",
535,,,Stratasys,Fortus 450mc,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",16.0,14.0,16.0,"$100,000 - $249,999",
536,,,Stratasys,J700 Dental,,,,,,,,,Click for Details,,,Material Jetting,Polymer,,19.29,15.35,,Price not reported,
537,,,Stratasys,J735,,,,,,,,,Click for Details,High Mix,,Material Jetting,Polymer,,13.78,13.78,7.87,Price not reported,
540,,,Stratasys,J750,,,,,,,,,Click for Details,High Mix,,Material Jetting,Polymer,,19.3,15.35,7.9,Price not reported,
544,,,Stratasys,Objet Eden260VS,,,,,,,,,Click for Details,High quality,,Material Jetting,Polymer,"Acrylic, PP-like, Rubber-like",10.04,9.92,7.87,"$50,000 - $99,999",
546,,,Stratasys,Objet Eden260VS Dental Advantage,,,,,,,,,Click for Details,,,Material Jetting,Polymer,"Acrylic, PP-like, Rubber-like",10.04,9.92,7.87,"$50,000 - $99,999",
547,,,Stratasys,Objet1000 Plus,,,,,,,,,Click for Details,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",39.3701,31.49608,19.68505,"$500,000 - $999,999",
550,,,Stratasys,Objet24,,,,,,,,,Click for Details,,,Material Jetting,Polymer,Acrylic,9.21,7.55,5.85,"Less than $49,999",
551,,,Stratasys,Objet260 Connex1,,,,,,,,,Click for Details,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039375999999999,9.921265,7.87402,"$100,000 - $249,999",
554,,,Stratasys,Objet260 Connex3,,,,,,,,,Click for Details,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039375999999999,9.921265,7.87402,"$100,000 - $249,999",
557,,,Stratasys,Objet260 Dental 3D Printer,,,,,,,,,Click for Details,High quality,,Material Jetting,Polymer,"Acrylic, Rubber-like",10.04,9.92,7.87,"$100,000 - $249,999",
559,,,Stratasys,Objet260 Dental Selection,,,,,,,,,Click for Details,,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039375999999999,9.921265,7.87402,"$100,000 - $249,999",
560,,,Stratasys,Objet30,,,,,,,,,Click for Details,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",11.574809,7.5590589999999995,5.850397,"Less than $49,999",
561,,,Stratasys,Objet30 Dental Prime,,,,,,,,,Click for Details,Draft,,Material Jetting,Polymer,,11.81,7.87,3.94,"Less than $49,999",
564,,,Stratasys,Objet30 OrthoDesk,,,,,,,,,Click for Details,,,Material Jetting,Polymer,,11.81,7.87,3.94,"Less than $49,999",
565,,,Stratasys,Objet30 Prime,,,,,,,,,Click for Details,,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",11.57,7.55,5.85,"Less than $49,999",
566,,,Stratasys,Objet30 Pro,,,,,,,,,Click for Details,,,Material Jetting,Polymer,Acrylic,11.57,7.55,5.85,"Less than $49,999",
567,,,Stratasys,Objet350 Connex3,,,,,,,,,Click for Details,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.385834,13.385834,7.87402,"$250,000 - $499,999",
570,,,Stratasys,Objet500 Connex1,,,,,,,,,Click for Details,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",19.291349,15.354339000000001,7.87402,"$100,000 - $249,999",
576,,,Stratasys,Objet500 Dental Selection,,,,,,,,,Click for Details,High quality,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",19.29,15.35,7.87,"$250,000 - $499,999",
579,,,Structo,DentaForm,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like",7.87,5.9,3.93,"Less than $49,999",
580,,,Structo,Velox,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.95,1.77,2.95,"Less than $49,999",
581,,,Techgine Laser Technology,TZ-SLM120,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Aluminum, Nickel, Steel",4.72,4.72,4.33,Price not reported,
583,,,Techgine Laser Technology,TZ-SLM300A,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Aluminum, Nickel, Steel",9.84,9.84,11.81,Price not reported,
584,,,Techgine Laser Technology,TZ-SLM500A,,,,,,,,,Click for Details,,4x500,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Aluminum, Nickel, Steel",19.69,19.69,39.37,Price not reported,
586,,,Titan Robotics,Atlas 1.0,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PETG, PC, PEI, TPE, PA",30.0,30.0,45.0,"Less than $49,999",
587,,,Titan Robotics,Atlas 2.0,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PETG, PC, PEI, TPE, PA",36.0,36.0,48.0,"Less than $49,999",
588,,,Titan Robotics,Atlas 2.5,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PETG, PC, PEI, TPE, PA",42.0,42.0,48.0,"Less than $49,999",
589,,,Tongtai Machine & Tool Co.,AMP-160,,,,,,,,,Click for Details,,250,Powder Bed Fusion (e.g. SLS),Metal,,6.3,6.3,6.3,Price not reported,
590,,,Tongtai Machine & Tool Co.,AMP-250,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,,9.84,9.84,9.84,Price not reported,
591,,,Tongtai Machine & Tool Co.,AMS-1200,,,,,,,,,Click for Details,,,Binder Jetting,Sand,,47.24,21.26,31.5,Price not reported,
592,,,TPM3D (A Stratasys Company),TPM3D S320,,,,,,,,,Click for Details,,60,Powder Bed Fusion (e.g. SLS),Polymer,,12.6,12.6,23.6,"$100,000 - $249,999",
593,,,TPM3D (A Stratasys Company),TPM3D S360,,,,,,,,,Click for Details,,80,Powder Bed Fusion (e.g. SLS),Polymer,,14.1,14.1,23.6,"$100,000 - $249,999",
594,,,TPM3D (A Stratasys Company),TPM3D S480,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),Polymer,,18.9,18.9,23.6,"$100,000 - $249,999",
595,,,TPM3D (A Stratasys Company),TPM3D S550,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),Polymer,,21.7,21.7,23.6,"$250,000 - $499,999",
596,,,TRUMPF,TruPrint 1000,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Aluminum, Cobalt, Nickel, Titanium, Bronze",3.94,3.94,3.94,Price not reported,
597,,,TRUMPF,TruPrint 3000,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Aluminum, Cobalt, Nickel, Titanium, Bronze",11.8,11.8,15.75,Price not reported,
598,,,TRUMPF,TruPrint 5000,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Aluminum, Cobalt, Nickel, Titanium, Bronze",11.81,11.81,15.75,Price not reported,
599,,,Unirapid,UNIRAPID III,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,5.91,5.91,5.91,"$50,000 - $99,999",
600,,,Unirapid,UNIRAPID IV,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,1.96,1.96,1.96,Price not reported,
601,,,Vader Systems,Polaris,,,,,,,,,Click for Details,,,Material Jetting,Metal,Aluminum,11.81,11.81,11.81,"$250,000 - $499,999",
602,,,Velo3D,Sapphire System,,,,,,,,,Click for Details,Dual Laser,1000,Powder Bed Fusion (e.g. SLS),Metal,"Nickel, Titanium",12.4,12.4,15.75,Price not reported,
603,,,voxeljet,VX1000,,,,,,,,,Click for Details,HP,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",41.73,23.62,19.69,"$500,000 - $999,999",
605,,,voxeljet,VX200,,,,,,,,,Click for Details,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",11.81,7.87,5.91,"$100,000 - $249,999",
606,,,voxeljet,VX2000,,,,,,,,,Click for Details,HP,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",81.1,41.73,39.37,"$500,000 - $999,999",
608,,,voxeljet,VX4000,,,,,,,,,Click for Details,HP,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",157.48,78.74,39.37,"Greater than $1,000,000",
609,,,voxeljet,VX500,,,,,,,,,Click for Details,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",19.69,15.75,11.81,"$250,000 - $499,999",
610,,,W2P Engineering,SolFlex 150,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,1.57,2.36,4.72,"Less than $49,999",
611,,,W2P Engineering,SolFlex 170,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.2,3.5,4.72,"Less than $49,999",
612,,,W2P Engineering,SolFlex 350,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.52,4.72,5.12,"Less than $49,999",
613,,,W2P Engineering,SolFlex 650,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.04,4.72,5.12,"Less than $49,999",
614,,,Winbo,4 Nozzles 3D Printer,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,PLA,11.81,8.46,11.81,"Less than $49,999",
615,,,Winbo,8 Nozzles 3D Printer,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,PLA,12.6,8.27,14.96,"Less than $49,999",
616,,,Winbo,Dragon (XL),,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PETG",36.0,24.0,48.0,"Less than $49,999",
617,,,Winbo,Tiger (XL),,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PETG",36.0,24.0,24.0,"Less than $49,999",
618,,,Wuhan Binhu,HRPL-II,,,,,,,,,Click for Details,,0.5,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,13.78,"$100,000 - $249,999",
619,,,Wuhan Binhu,HRPL-III,,,,,,,,,Click for Details,,0.5,Vat Photopolymerization (e.g. SLA),Polymer,,23.62,23.62,19.69,"$100,000 - $249,999",
620,,,Wuhan Binhu,HRPM-II,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Nickel",9.84,9.84,9.84,"$250,000 - $499,999",
622,,,Wuhan Binhu,HRPS-II,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),"Ceramic, Polymer, Sand","PS, PP, PA, Coated Sand, Ceramic",12.6,12.6,17.72,"$50,000 - $99,999",
623,,,Wuhan Binhu,HRPS-IV,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),"Ceramic, Polymer, Sand","PS, PP, PA, Coated Sand, Ceramic",19.69,19.69,15.75,"$100,000 - $249,999",
624,,,Wuhan Binhu,HRPS-V,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",39.37,39.37,23.62,"$250,000 - $499,999",
625,,,Wuhan Binhu,HRPS-VI,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",47.24,47.24,23.62,"$500,000 - $999,999",
626,,,Wuhan Binhu,HRPS-VII,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",55.12,27.56,19.69,"$500,000 - $999,999",
627,,,Wuhan Binhu,HRPS-VIII,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",55.12,55.12,19.69,"Greater than $1,000,000",
628,,,Wuhan Huake 3D,HK C250,,,,,,,,,Click for Details,General type,55,Powder Bed Fusion (e.g. SLS),"Polymer, Composite","Alumina, Zirconia, Silicon Carbide",9.8,9.8,9.8,Price not reported,
630,,,Wuhan Huake 3D,HK L400,,,,,,,,,Click for Details,,0.5,Vat Photopolymerization (e.g. SLA),Polymer,,15.75,15.75,17.72,"$50,000 - $99,999",
631,,,Wuhan Huake 3D,HK M125,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Nickel",4.92,4.92,5.91,Price not reported,
632,,,Wuhan Huake 3D,HK P420,,,,,,,,,Click for Details,,55,Powder Bed Fusion (e.g. SLS),Polymer,"PA, PP",16.54,16.54,19.69,Price not reported,
633,,,Wuhan Huake 3D,HK S1400,,,,,,,,,Click for Details,Dual laser,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",55.118140000000004,27.559070000000002,19.68505,"$250,000 - $499,999",
634,,,Wuhan Huake 3D,HK S500,,,,,,,,,Click for Details,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",19.68505,19.68505,15.74804,"$100,000 - $249,999",
635,,,Wuhan Huake 3D,HK S800,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",31.5,31.5,19.69,Price not reported,
636,,,Xact Metal,XM200C,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Cobalt, Bronze",5.0,5.0,5.0,"$50,000 - $99,999",
637,,,Xact Metal,XM200S,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Bronze, Steel, Nickel, Cobalt, Titanium",5.0,5.0,5.0,"$100,000 - $249,999",
638,,,Xery,Victory,,,,,,,,,Click for Details,,55,Powder Bed Fusion (e.g. SLS),Polymer,,13.779535000000001,13.779535000000001,25.590564999999998,"$250,000 - $499,999",
639,,,Xery,Vision,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PVA",11.81103,11.81103,11.81103,"Less than $49,999",
